text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38,1,MailOnline,charliehebdo,rumour,Charlie Hebdo gunmen reportedly heard shouting 'Prophet has been avenged',10
Here’s the grocery store in eastern Paris where hostage crisis is unfolding http://t.co/r4rG2j2Maq http://t.co/KVzJB8m9rH,0,MailOnline,charliehebdo,not_rumour,Heres the grocery store in eastern Paris where hostage crisis is unfolding,12
"Charlie Hebdo, we love you",0,thedailymash,charliehebdo,not_rumour,"Charlie Hebdo, we love you",5
"Charlie Hebdo massacre in Paris carried out with military precision - gunmen appeared to seek out journalists by name, police suggest.",1,peterallenparis,charliehebdo,rumour,"Charlie Hebdo massacre in Paris carried out with military precision - gunmen appeared to seek out journalists by name, police suggest.",21
It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh,0,DJack_Journo,charliehebdo,not_rumour,It would go some way as a tribute to those killed at CharlieHebdo if papers in every democracy published this Thurs,21
MORE: Official: French terror suspects want to be martyrs; are holed up with hostage north of Paris: http://t.co/sJXudtGUOV,1,AP,charliehebdo,rumour,MORE Official French terror suspects want to be martyrs are holed up with hostage north of Paris,17
"Paris Murder Suspects Cornered with Hostage
http://t.co/yzHJi4Hw54",1,TIME,charliehebdo,rumour,Paris Murder Suspects Cornered with Hostage,6
"One of the people in the world I hate the most is Laden, because he tarred the bright face of Islam.*** #CharlieHebdo http://t.co/N4J7m6I5OP",0,israfilaydemir,charliehebdo,not_rumour,"One of the people in the world I hate the most is Laden, because he tarred the bright face of Islam. CharlieHebdo",22
"""I may not agree with what you say but will defend your right to say it."" - Voltaire #shocked #JeSuisCharlie http://t.co/DtA3cdpUhU",0,_charlesbrun,charliehebdo,not_rumour,"""I may not agree with what you say but will defend your right to say it."" - Voltaire shocked JeSuisCharlie",20
"Islam, ""the religion of peace, ""is a violent murderous death cult and should be treated as such. #CharlieHebdo http://t.co/GrhBu1ln2q",0,billhobbs,charliehebdo,not_rumour,"Islam, ""the religion of peace, ""is a violent murderous death cult and should be treated as such. CharlieHebdo",18
"#Picture
IS terrorist scum executes injured police man in #Paris.
#CharlieHebdo http://t.co/wov8G7GL0b",0,Conflict_Report,charliehebdo,not_rumour,Picture IS terrorist scum executes injured police man in Paris. CharlieHebdo,11
This Is Why I and Other Muslims Won't Apologize for the Charlie Hebdo Attacks http://t.co/DuFup9v1iH http://t.co/kSgh0NujBW,0,VICE,charliehebdo,not_rumour,This Is Why I and Other Muslims Won't Apologize for the Charlie Hebdo Attacks,14
#CharlieHebdo attack suspects take 1 person hostage North-East of Paris (police source) http://t.co/LdSF5QeCiv http://t.co/2y5fPwHXA7,1,FRANCE24,charliehebdo,rumour,CharlieHebdo attack suspects take 1 person hostage North-East of Paris police source,12
"#CharlieHebdo massacre: modus operandi, efficiency &amp; focus point to jihad returnees, guys trained to kill repeatedly not one-time kamikazes",0,FHeisbourg,charliehebdo,not_rumour,"CharlieHebdo massacre modus operandi, efficiency amp focus point to jihad returnees, guys trained to kill repeatedly not one-time kamikazes",19
#CharlieHebdo The four Hero's of freedom of expression who were killed by terrorists in Paris. #ParisShooting http://t.co/rbZ4ZSyehB,0,ivivekbansal,charliehebdo,not_rumour,CharlieHebdo The four Hero's of freedom of expression who were killed by terrorists in Paris. ParisShooting,16
"#CharlieHebdo hostage freed in Dammartin - Kouachi brothers both killed, AFP reports http://t.co/7N7uvClhWY",1,Telegraph,charliehebdo,rumour,"CharlieHebdo hostage freed in Dammartin - Kouachi brothers both killed, AFP reports",12
→ http://t.co/DVGUfqUEq4 Charlie Hebdo  86 Charlie Hebdo attack: Helicopters hunt for suspects in woods of France http://t.co/8WhrB18Em7,0,brownjenjen,charliehebdo,not_rumour,Charlie Hebdo 86 Charlie Hebdo attack Helicopters hunt for suspects in woods of France,14
"I'm a Muslim journalist. Although I disagree w/ anti-Islam cartoons, my faith compels me to respect the rights of others. #JeSuisCharlie",0,sarah_harvard,charliehebdo,not_rumour,"I'm a Muslim journalist. Although I disagree w anti-Islam cartoons, my faith compels me to respect the rights of others. JeSuisCharlie",21
"Saudi government to give 1,000 lashes today, outside a mosque, to a Saudi blogger who ""insulted islam” #jesuischarlie http://t.co/q8WzV7dkiO",0,bengoldacre,charliehebdo,not_rumour,"Saudi government to give 1,000 lashes today, outside a mosque, to a Saudi blogger who ""insulted islam jesuischarlie",18
"Been watching UK news all morning, seen no mention of multiple attacks on mosques in France after yesterday http://t.co/NzRUHI1CDw",0,sunny_hundal,charliehebdo,not_rumour,"Been watching UK news all morning, seen no mention of multiple attacks on mosques in France after yesterday",18
"""This kind of terrorism, they haven't seen for a long, long time,"" @6ideas says of people in Paris. #CharlieHebdo http://t.co/oOXJnjHTuy”",0,9_mas,charliehebdo,not_rumour,"""This kind of terrorism, they haven't seen for a long, long time,"" says of people in Paris. CharlieHebdo",18
"Absurdly, I'm told this is not time to talk about reforming Muslim attitudes to ""blasphemy"". Seriously. What planet are we on? #CharlieHebdo",0,MaajidNawaz,charliehebdo,not_rumour,"Absurdly, I'm told this is not time to talk about reforming Muslim attitudes to ""blasphemy"". Seriously. What planet are we on? CharlieHebdo",22
"This is Melbourne right now! 
#JeSuisCharlie
#CharlieHebdo 
http://t.co/6Vyt2viHo2 http://t.co/EYcFr2BfSd",0,HuffPostUKPics,charliehebdo,not_rumour,This is Melbourne right now! JeSuisCharlie CharlieHebdo,7
Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed. http://t.co/YPIlwckuuw,1,WSJ,charliehebdo,rumour,Breaking Gunman at Paris store threatens to kill hostages if CharlieHebdo suspects are harmed.,14
A good summary via @AntonLaGuardia. #JeSuisCharlie #CharlieHebdo http://t.co/938GZ4T6d3,0,dpjankowski,charliehebdo,not_rumour,A good summary via . JeSuisCharlie CharlieHebdo,7
.@AmbJohnBolton: We have to WAKE UP --America has to acknowledge that we are still at war w/terrorism #ParisShooting #JeSuisCharlie @FoxNews,0,greta,charliehebdo,not_rumour,. We have to WAKE UP --America has to acknowledge that we are still at war w terrorism ParisShooting JeSuisCharlie,20
"AFP reports there are 2 dead, and 5 hostages being held in the Kosher store in Eastern Paris; separate incident to charlie hebdo shooters.",1,ShirazMaher,charliehebdo,rumour,"AFP reports there are 2 dead, and 5 hostages being held in the Kosher store in Eastern Paris separate incident to charlie hebdo shooters.",24
BREAKING: Smoke coming from building where Charlie Hebdo attack suspects located: Reuters reporter,0,Reuters,charliehebdo,not_rumour,BREAKING Smoke coming from building where Charlie Hebdo attack suspects located Reuters reporter,13
#JesuisAhmed commemorates Muslim police officer Ahmed Merabet murdered in Charlie Hebdo attack http://t.co/qfxjQMhUoN http://t.co/U1AyY3wWYY,0,HuffPostUK,charliehebdo,not_rumour,JesuisAhmed commemorates Muslim police officer Ahmed Merabet murdered in Charlie Hebdo attack,12
