text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
"In reporting the #CharlieHebdo terrorist attack, @Telegraph blurs out the French mag's cover cartoon of Mohammed http://t.co/8SDCsSVlc8",0,IlanBenZion,charliehebdo,not_rumour,"In reporting the CharlieHebdo terrorist attack, blurs out the French mag's cover cartoon of Mohammed",15
"#CharlieHebdo attack, now car set on fire outside synagogue - more Islamist terror in #France? http://t.co/mUjQ9qJdrN http://t.co/kAQrLbZJLy",0,michaeldickson,charliehebdo,not_rumour,"CharlieHebdo attack, now car set on fire outside synagogue - more Islamist terror in France?",15
"Salman Rushdie defends Charlie Hebdo, calls for ""fearless disrespect"" of all religions http://t.co/eSFhZflldV http://t.co/MP8T3q3Pjx",0,Salon,charliehebdo,not_rumour,"Salman Rushdie defends Charlie Hebdo, calls for ""fearless disrespect"" of all religions",12
Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer. http://t.co/YGscPqvtYM,0,cartoonmovement,charliehebdo,not_rumour,Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer.,19
Parisians gather under rain by Notre Dame to mourn #CharlieHebdo killings #Jesuischarlie http://t.co/618DSKj5bV,0,RuthBenderParis,charliehebdo,not_rumour,Parisians gather under rain by Notre Dame to mourn CharlieHebdo killings Jesuischarlie,12
→ http://t.co/Grnn2RS6VA 498 Charlie Hebdo Charlie Hebdo massacre: Arrests as France hunts gunmen #CharlieHebdo England GBR Stoke-on-Trent,0,barbjonn,charliehebdo,not_rumour,498 Charlie Hebdo Charlie Hebdo massacre Arrests as France hunts gunmen CharlieHebdo England GBR Stoke-on-Trent,15
Six explosions heard at kosher supermarket where a number of hostages were taken #ParisAttacks http://t.co/0jxoozr8mN http://t.co/BFuLAaMba6,0,SkyNews,charliehebdo,not_rumour,Six explosions heard at kosher supermarket where a number of hostages were taken ParisAttacks,14
"Killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo",0,baghdadinvest,charliehebdo,not_rumour,"Killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. CharlieHebdo",22
. @USEmbassyFrance changes Twitter pic to #JeSuisCharlie #CharlieHebdo http://t.co/nCO0bEygIx,0,Claire_Phipps,charliehebdo,not_rumour,. changes Twitter pic to JeSuisCharlie CharlieHebdo,7
The world needs this viewpoint a lot more. #CharlieHebdo http://t.co/E0BUGG09K1,0,SimonTOverall,charliehebdo,not_rumour,The world needs this viewpoint a lot more. CharlieHebdo,9
"We are all Charlie Hebdo. Kill us all! 
#CharlieHebdo @Charlie_Hebdo_ http://t.co/7jFelOTDxw",0,channeldraw,charliehebdo,not_rumour,We are all Charlie Hebdo. Kill us all! CharlieHebdo,9
BREAKING NEWS: The 4 French cartoonists killed in #CharlieHebdo  terror attack today. RIP http://t.co/CjmNTDWgzP,0,PzFeed,charliehebdo,not_rumour,BREAKING NEWS The 4 French cartoonists killed in CharlieHebdo terror attack today. RIP,13
French police named two suspects in killing of policewoman in Montrouge: http://t.co/W5Fam8pfQ9 http://t.co/U3fLI0609G,0,WSJ,charliehebdo,not_rumour,French police named two suspects in killing of policewoman in Montrouge,11
"Photo of the 2 cartoonists killed in the attack on #CharlieHebdo in #Paris today. RIP.

via @LePoint. http://t.co/mms8xWU1Ze",1,rConflictNews,charliehebdo,rumour,Photo of the 2 cartoonists killed in the attack on CharlieHebdo in Paris today. RIP. via .,17
The terrorist attack in Paris is beyond obscenity. It is a violent assault on freedom of the media and freed of expression for all peoples.,0,MrKRudd,charliehebdo,not_rumour,The terrorist attack in Paris is beyond obscenity. It is a violent assault on freedom of the media and freed of expression for all peoples.,25
"Real Muslims have never seen, and cannot see #terrorism as a way for solving their problems.*** #CharlieHebdo http://t.co/sdJvdNxAGM",0,israfilaydemir,charliehebdo,not_rumour,"Real Muslims have never seen, and cannot see terrorism as a way for solving their problems. CharlieHebdo",17
BREAKING: Gunfire reported in French town as police hunt suspects in #CharlieHebdo attack | More soon at: http://t.co/SIQeukZutl,1,AJEnglish,charliehebdo,rumour,BREAKING Gunfire reported in French town as police hunt suspects in CharlieHebdo attack More soon at,16
How our timidity helped cartoonists become victims. My @thetimes column today - http://t.co/7MbBV3gWN7 (£) #CharlieHebdo,0,DAaronovitch,charliehebdo,not_rumour,How our timidity helped cartoonists become victims. My column today - CharlieHebdo,12
"#ICYMI, Christopher Hitchens on the case for mocking religion is important, relevant: http://t.co/TDLyhXjBDZ #JeSuisCharlie",0,Slate,charliehebdo,not_rumour,"ICYMI, Christopher Hitchens on the case for mocking religion is important, relevant JeSuisCharlie",13
Charlie Hebdo attack: minute's silence held for victims around the world http://t.co/BP9uXF8M7F http://t.co/3uDo93WC5K,0,guardian,charliehebdo,not_rumour,Charlie Hebdo attack minute's silence held for victims around the world,11
"A picture is worth a thousand words. 
#JeSuisCharlie 
#JeSuisAhmed
#JeSuisHumain

#CharlieHebdo

via @Raseef22 http://t.co/EKYcmauf33",0,LibyaLiberty,charliehebdo,not_rumour,A picture is worth a thousand words. JeSuisCharlie JeSuisAhmed JeSuisHumain CharlieHebdo via,12
Those who killed 11 and injured scores at HQ of French satirical magazine #CharlieHebdo have done a huge disservice to Islam and Muslims,1,MurtazaGeoNews,charliehebdo,rumour,Those who killed 11 and injured scores at HQ of French satirical magazine CharlieHebdo have done a huge disservice to Islam and Muslims,23
"#CharlieHebdo editor/cartoonist Stephane ""Charb"" Charbonnier and 3 other cartoonists among those killed, police say. http://t.co/zUfxcG3Rfs",0,cnnbrk,charliehebdo,not_rumour,"CharlieHebdo editor cartoonist Stephane ""Charb"" Charbonnier and 3 other cartoonists among those killed, police say.",15
The Image That Everyone Is Sharing isn't By Banksy — But It's Awesome. #CharlieHebdo http://t.co/YF1d7tvNwE http://t.co/UfBtgLRRYc,1,dandemoustier,charliehebdo,rumour,The Image That Everyone Is Sharing isn't By Banksy But It's Awesome. CharlieHebdo,13
"Children being let out of school lockdown near Paris, as police hunt #CharlieHebdo suspects. http://t.co/7Bxdhozq4H http://t.co/8UdTgzIVft",0,cnnbrk,charliehebdo,not_rumour,"Children being let out of school lockdown near Paris, as police hunt CharlieHebdo suspects.",14
This is why I don't give a Shit💩How Terrorist R interrogated❌ @benshapiro @HeyTammyBruce @MonicaCrowley #CharlieHebdo http://t.co/EEFH0zg7Qa,0,peddoc63,charliehebdo,not_rumour,This is why I don't give a ShitHow Terrorist R interrogated CharlieHebdo,12
"France: Since last night, gunfire and bombings have targeted two mosques, a prayer room, and a Muslim family's car. http://t.co/fXrG6y2uvX",0,MahmoudRamsey,charliehebdo,not_rumour,"France Since last night, gunfire and bombings have targeted two mosques, a prayer room, and a Muslim family's car.",19
Latest pictures from hostage situation at a kosher grocer in the French capital. #ParisAttacks http://t.co/zZIgbWOmcP http://t.co/5DkRZ2szYx,0,SkyNews,charliehebdo,not_rumour,Latest pictures from hostage situation at a kosher grocer in the French capital. ParisAttacks,14
This: via @aboujahjah #JeSuisAhmed #JeSuisCharlie #CharlieHebdo http://t.co/avEw4j6U7p,0,juliamacfarlane,charliehebdo,not_rumour,This via JeSuisAhmed JeSuisCharlie CharlieHebdo,5
The New Yorker’s Charlie Hebdo cover is wonderful: http://t.co/xjA85LhcSS http://t.co/tjUiIXzzoS,0,ezraklein,charliehebdo,not_rumour,The New Yorkers Charlie Hebdo cover is wonderful,8
"Why is terrorism international &amp; weapons from terrorists always Russian (Soviet) !? — TT @samiramoto

#JeSuisCharlie http://t.co/iSH566FPu2",0,RobPulseNews,charliehebdo,not_rumour,Why is terrorism international amp weapons from terrorists always Russian Soviet !? TT JeSuisCharlie,14
"I would think a religious figure is more offended by savage, barbaric slaughter in his name than by a cartoon. #charliehebdo",0,DLoesch,charliehebdo,not_rumour,"I would think a religious figure is more offended by savage, barbaric slaughter in his name than by a cartoon. charliehebdo",21
#JesuisCharlie is quickly spreading as a sign of support to victims of today’s shooting http://t.co/DC2vhjcHIL http://t.co/4T5PW9MboQ,0,FRANCE24,charliehebdo,not_rumour,JesuisCharlie is quickly spreading as a sign of support to victims of todays shooting,14
"MT @grasswire: #CharlieHebdo editor, assassinated today, in 2012:""I prefer to die standing than to live on my knees."" http://t.co/nUceGIaD03",0,JackieBodnar,charliehebdo,not_rumour,"MT CharlieHebdo editor, assassinated today, in 2012 ""I prefer to die standing than to live on my knees.""",18
"The shooting at French magazine #CharlieHebdo is a hideous attack on free speech, not just in Paris but everywhere",0,KateAllenAI,charliehebdo,not_rumour,"The shooting at French magazine CharlieHebdo is a hideous attack on free speech, not just in Paris but everywhere",19
INFOGRAPHIC: Anti-#Muslim attacks in #France after the Charlie Hebdo massacre. #no2h8 @HuffPostUK @Independent http://t.co/KlWiFmYyb6,0,TellMamaUK,charliehebdo,not_rumour,INFOGRAPHIC Anti-Muslim attacks in France after the Charlie Hebdo massacre. no2h8,11
"""Screw Your Hashtag Solidarity"" http://t.co/bLHuDh08HG #CharlieHebdo #ParisShooting #Kosher #DammartinEnGoele #CharlesdeGaulle @hughhewitt",0,MarkSteynOnline,charliehebdo,not_rumour,"""Screw Your Hashtag Solidarity"" CharlieHebdo ParisShooting Kosher DammartinEnGoele CharlesdeGaulle",9
The new world we live in #CharlieHebdo http://t.co/FzwE7O4Pb4,0,MartinDaubney,charliehebdo,not_rumour,The new world we live in CharlieHebdo,7
"We will not be intimidated by brutal, violent attacks on our freedom #JeSuisCharlie",0,eucopresident,charliehebdo,not_rumour,"We will not be intimidated by brutal, violent attacks on our freedom JeSuisCharlie",13
The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the #CharlieHebdo killers http://t.co/QeDw4tRoK9,0,holland_tom,charliehebdo,not_rumour,The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the CharlieHebdo killers,22
Man violently lifts the Prophet up by the lapels of his cloak asking for money! He smiles and gives him more than he's due. #CharlieHebdo,0,iyad_elbaghdadi,charliehebdo,not_rumour,Man violently lifts the Prophet up by the lapels of his cloak asking for money! He smiles and gives him more than he's due. CharlieHebdo,25
