text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
"Milan have stated that the reports about Essien having Ebola are completely false.
http://t.co/Sb9v9ulfTX
@MichaelEssien",1,Milanello,ebola-essien,rumour,Milan have stated that the reports about Essien having Ebola are completely false.,13
No truth in internet rumours that I have contracted Ebola.i m very well &amp; I'm doing very gud &amp; will be training as usual tomorrow.#falsenews,1,MichaelEssien,ebola-essien,rumour,No truth in internet rumours that I have contracted Ebola.i m very well amp I'm doing very gud amp will be training as usual tomorrow.falsenews,25
AC Milan have denied reports that midfielder Michael Essien has contracted Ebola while on national duty with Ghana #SSFootball,1,SuperSportBlitz,ebola-essien,rumour,AC Milan have denied reports that midfielder Michael Essien has contracted Ebola while on national duty with Ghana SSFootball,19
AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/swnPfExdFx,1,TransferRelated,ebola-essien,rumour,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. Daily Times,16
BREAKING: Unconfirmed reports claim AC Milan midfielder Michael Essien has contracted the Ebola virus. #GetWellSoon http://t.co/9h2spi4T0J,1,TheBenchWarming,ebola-essien,rumour,BREAKING Unconfirmed reports claim AC Milan midfielder Michael Essien has contracted the Ebola virus. GetWellSoon,15
"Breaking news: Ghana international and AC Milan star Michael Essien has contracted Ebola, his club has confirmed.",1,YuryAlkaev,ebola-essien,rumour,"Breaking news Ghana international and AC Milan star Michael Essien has contracted Ebola, his club has confirmed.",17
Good news: The rumours that Michael Essien has contracted the Ebola virus are false. http://t.co/5d7hCL46mR http://t.co/VtGuLnjWBD,1,br_uk,ebola-essien,rumour,Good news The rumours that Michael Essien has contracted the Ebola virus are false.,14
AC Milan have confirmed that the reports about Michael Essien having Ebola are completely false.,1,Footballltrolls,ebola-essien,rumour,AC Milan have confirmed that the reports about Michael Essien having Ebola are completely false.,15
Milan release official statement on their site saying that the reports of Michael Essien having Ebola are false. http://t.co/qYDG0RcOZh,1,FutbolSergi,ebola-essien,rumour,Milan release official statement on their site saying that the reports of Michael Essien having Ebola are false.,18
Essien and his lawyers are considering to file a lawsuit against the Nigerian media that reported the fake Ebola story.,1,Milanello,ebola-essien,rumour,Essien and his lawyers are considering to file a lawsuit against the Nigerian media that reported the fake Ebola story.,20
"I'm very fit and very healthy,No truth in the internet rumours that I have contracted Ebola.im well &amp;… http://t.co/TGidyI5JVG",1,MichaelEssien,ebola-essien,rumour,"I'm very fit and very healthy,No truth in the internet rumours that I have contracted Ebola.im well amp",18
Micheal Essien denying the Ebola rumours like https://t.co/H2E1TAzeha,1,Mourinholic,ebola-essien,rumour,Micheal Essien denying the Ebola rumours like,7
Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH,1,FootballcomEN,ebola-essien,rumour,Unconfirmed reports claim that Michael Essien has contracted Ebola.,9
