text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
White twitter doing what they do best... #Ferguson #FergusonShooting http://t.co/Ks2YLkYmEJ,0,iMONST3R,ferguson,not_rumour,White twitter doing what they do best... Ferguson FergusonShooting,9
Everyone was out to support. #MikeBrown #Ferguson #UnionSquare #nyc4stl http://t.co/z3VT5Sf51v,0,AllysonxGill,ferguson,not_rumour,Everyone was out to support. MikeBrown Ferguson UnionSquare nyc4stl,9
This is probably the greatest thing I've seen so far #Ferguson #MikeBrown http://t.co/pvhEvqMQ9i,0,MatthewKick,ferguson,not_rumour,This is probably the greatest thing I've seen so far Ferguson MikeBrown,12
The name of the officer who fatally shot teenager #MichaelBrown will be released shortly. Watch CNN: http://t.co/0QL42wwP0v #Ferguson,1,CNN,ferguson,rumour,The name of the officer who fatally shot teenager MichaelBrown will be released shortly. Watch CNN Ferguson,17
It's helicopters flying in #Ferguson. How a drive by happen and y'all ain't spot it??! With West Florissant COMPLETELY BLOCKED OFF.,0,Nettaaaaaaaa,ferguson,not_rumour,It's helicopters flying in Ferguson. How a drive by happen and y'all ain't spot it??! With West Florissant COMPLETELY BLOCKED OFF.,21
"Police are demanding protesters disperse. ""this is not up for discussion. Return to your vehicles. Return to your homes."" #Ferguson",0,elonjames,ferguson,not_rumour,"Police are demanding protesters disperse. ""this is not up for discussion. Return to your vehicles. Return to your homes."" Ferguson",20
Calling all journalists covering #MikeBrown #Ferguson FREE coffee/Wifi if you need a place to work! @AntonioFrench http://t.co/mn8W44Ov7z,0,RiseCoffeeSTL,ferguson,not_rumour,Calling all journalists covering MikeBrown Ferguson FREE coffee Wifi if you need a place to work!,16
"Don't feel hopeless if you are far from #Ferguson. Organize your block or your hood. Unite tenants, support ex-offenders, #FilmThePolice.",0,Copwatch,ferguson,not_rumour,"Don't feel hopeless if you are far from Ferguson. Organize your block or your hood. Unite tenants, support ex-offenders, FilmThePolice.",20
"Before his death #MikeBrown told his mother, ""The world will know who #MichaelBrown is!"" #Ferguson",1,BridjesONeil,ferguson,rumour,"Before his death MikeBrown told his mother, ""The world will know who MichaelBrown is!"" Ferguson",15
The surveillance tape the police have on TV DOESNT even look like anything near Canfield Green apts. #MIKEBROWN #Ferguson,1,Nettaaaaaaaa,ferguson,rumour,The surveillance tape the police have on TV DOESNT even look like anything near Canfield Green apts. MIKEBROWN Ferguson,19
200 cops in riot gear in #ferguson because there is a prayer circle and a concerned compassionate community,1,rtgarden,ferguson,rumour,200 cops in riot gear in ferguson because there is a prayer circle and a concerned compassionate community,18
"The world now knows his name, tonight get to know Mike Brown the person @fox2now at 9 #ferguson http://t.co/jBNenRkexL",0,andybankertv,ferguson,not_rumour,"The world now knows his name, tonight get to know Mike Brown the person at 9 ferguson",17
Why release the report about the robbery if it's not related to the contact with the cop who shot him? This all stinks. #Ferguson,1,ZerlinaMaxwell,ferguson,rumour,Why release the report about the robbery if it's not related to the contact with the cop who shot him? This all stinks. Ferguson,24
"Well, OF COURSE the #Ferguson police need to wear camouflage instead of uniforms. They might need to hide in all those urban forests.",0,TeaPartyCat,ferguson,not_rumour,"Well, OF COURSE the Ferguson police need to wear camouflage instead of uniforms. They might need to hide in all those urban forests.",23
"Michael Brown was due to begin classes at Vatterott College tomorrow.

His mother mourns his loss:

#Ferguson http://t.co/YMSK7Skp9y",0,TheObamaDiary,ferguson,not_rumour,Michael Brown was due to begin classes at Vatterott College tomorrow. His mother mourns his loss Ferguson,17
Photos of alleged robbery involving Michael Brown in #Ferguson (via police) http://t.co/gr83XTGO1t http://t.co/7V34OtGYcn,1,NBCNews,ferguson,rumour,Photos of alleged robbery involving Michael Brown in Ferguson via police,11
"Sara 4, killed while playing
#Israel is intentionally targeting KIDS

#Ferguson #Gaza #GazaUnderAttack #FreePalestine http://t.co/cD8oc73rNY",0,DrBasselAbuward,ferguson,not_rumour,"Sara 4, killed while playing Israel is intentionally targeting KIDS Ferguson Gaza GazaUnderAttack FreePalestine",14
Tell Congress to demilitarize local police departments! &gt; &gt; &gt; http://t.co/HhTrkPtXwx #Ferguson http://t.co/Mh3jjXO1sG,0,rhrealitycheck,ferguson,not_rumour,Tell Congress to demilitarize local police departments! gt gt gt Ferguson,11
"And They Call #Conservatives Terrorists?

#tcot 
#Ferguson http://t.co/NTpxGviqLB",0,AmyMek,ferguson,not_rumour,And They Call Conservatives Terrorists? tcot Ferguson,7
"""#FERGUSON Dispatch #3: #MikeBrown Was Murdered and We Want Justice"" http://t.co/E8HEAgXOio #TWIBnation http://t.co/r2QfO4Ldis",0,elonjames,ferguson,not_rumour,"""FERGUSON Dispatch 3 MikeBrown Was Murdered and We Want Justice"" TWIBnation",11
"Follow Amnesty delegation on the ground in #Ferguson to observe, collect testimony http://t.co/srQ7W2vAyx",0,amnesty,ferguson,not_rumour,"Follow Amnesty delegation on the ground in Ferguson to observe, collect testimony",12
"Wake up. Whenever a black man is killed by police, they try to make him a Saint/Martyr. 99% of the time he's a POS #Thug.
#Ferguson",0,AnthonyCumia,ferguson,not_rumour,"Wake up. Whenever a black man is killed by police, they try to make him a Saint Martyr. 99 of the time he's a POS Thug. Ferguson",27
Missouri Governor Jay Nixon is delivering remarks on the Mike Brown case. #Ferguson,0,USATODAY,ferguson,not_rumour,Missouri Governor Jay Nixon is delivering remarks on the Mike Brown case. Ferguson,13
"Very eager to hear why #Ferguson Chief Tom Jackson didn't tell new man in charge, Capt. Johnson, he was releasing #MikeBrown incident report",0,PatMcGonigleNBC,ferguson,not_rumour,"Very eager to hear why Ferguson Chief Tom Jackson didn't tell new man in charge, Capt. Johnson, he was releasing MikeBrown incident report",23
"The police do not consist of a few bad apples, the institution itself is rotten to the core. #Ferguson",0,zellieimani,ferguson,not_rumour,"The police do not consist of a few bad apples, the institution itself is rotten to the core. Ferguson",19
Many police officers today operate from fear and prejudice. That's dangerous when you have the power to take a life. #Ferguson,0,TonyGaskins,ferguson,not_rumour,Many police officers today operate from fear and prejudice. That's dangerous when you have the power to take a life. Ferguson,21
These pictures coming out of #Ferguson with what looks like military equipment on American streets should sober everyone up...,0,CharlesMBlow,ferguson,not_rumour,These pictures coming out of Ferguson with what looks like military equipment on American streets should sober everyone up...,19
#Ferguson is locked down hard. We're parking and going in on foot.,0,elonjames,ferguson,not_rumour,Ferguson is locked down hard. We're parking and going in on foot.,12
Harvard Law students stand in solidarity w/#Ferguson and all innocent victims of #policebrutality  #HandsUpDontShoot http://t.co/XbiwsJ5ieV,0,thecrisismag,ferguson,not_rumour,Harvard Law students stand in solidarity w Ferguson and all innocent victims of policebrutality HandsUpDontShoot,15
