text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
"Never forget:
Tear Gas.
Rubber Bullets.
APCs.
Militarized Cops.
No Name Tags.
No Fly Zone.
Al Jazeera.
Never Forget Mike Brown.
#ferguson",0,ryanodonnell,ferguson,not_rumour,Never forget Tear Gas. Rubber Bullets. APCs. Militarized Cops. No Name Tags. No Fly Zone. Al Jazeera. Never Forget Mike Brown. ferguson,22
Happening now in #Ferguson where #MikeBrown was killed. http://t.co/LfN0DWYp0B,0,AntonioFrench,ferguson,not_rumour,Happening now in Ferguson where MikeBrown was killed.,8
!! #Ferguson cops once nabbed wrong man but charged him w/ property damage for bleeding on uniforms-they had beat him http://t.co/p5TRiQtWFY,1,greenhousenyt,ferguson,rumour,!! Ferguson cops once nabbed wrong man but charged him w property damage for bleeding on uniforms-they had beat him,20
Hip hop stepping up. Listen to @JColeNC Be Free http://t.co/HP6fgs7a7M dedicated to #MikeBrown #Ferguson,0,TalibKweli,ferguson,not_rumour,Hip hop stepping up. Listen to Be Free dedicated to MikeBrown Ferguson,12
"#Ferguson chief tells me he ""didn't know"" media was at @QuikTrip. Newser now 25 minutes late @kmov #MikeBrown http://t.co/2ucckGwtHZ",0,LauraKHettiger,ferguson,not_rumour,"Ferguson chief tells me he ""didn't know"" media was at . Newser now 25 minutes late MikeBrown",17
even in Afghanistan we never pointed our rifles at civilians there is something seriously wrong with the police in #Ferguson,0,kevinDAtruth88,ferguson,not_rumour,even in Afghanistan we never pointed our rifles at civilians there is something seriously wrong with the police in Ferguson,20
"White male goes on shooting spree: ""troubled nice guy needed help""
Black male, unarmed, gunned down:
""felon, thug, asking for it""
#Ferguson",0,cmclymer,ferguson,not_rumour,"White male goes on shooting spree ""troubled nice guy needed help"" Black male, unarmed, gunned down ""felon, thug, asking for it"" Ferguson",22
"Ok, America,this is when we are tested.Can you sustain yr interest in the killing of an unarmed black teen if he wasn't an angel? #Ferguson",0,Sifill_LDF,ferguson,not_rumour,"Ok, America,this is when we are tested.Can you sustain yr interest in the killing of an unarmed black teen if he wasn't an angel? Ferguson",25
A massive SWAT team just showed up to peaceful demonstration in #ferguson https://t.co/5nudRUA7vS,0,ryanjreilly,ferguson,not_rumour,A massive SWAT team just showed up to peaceful demonstration in ferguson,12
"So the angel Michael Brown who is 6'4"" 290 is the robber of the convenience store! #Ferguson http://t.co/d81cQPHzbi",1,Chris_1791,ferguson,rumour,"So the angel Michael Brown who is 6'4"" 290 is the robber of the convenience store! Ferguson",17
The live stream from #Ferguson is back up and running. Watch here while you can: http://t.co/7QTY8soT46,0,YourAnonNews,ferguson,not_rumour,The live stream from Ferguson is back up and running. Watch here while you can,15
"The whistleblower said they would often have ""Black day"" or ""tan day"" to just arrest Black or Brown people by the #StLouis PD. #Ferguson",0,drgoddess,ferguson,not_rumour,"The whistleblower said they would often have ""Black day"" or ""tan day"" to just arrest Black or Brown people by the StLouis PD. Ferguson",24
Welp... RT @MistyPrest: Attorney of #Ferguson Market owners never called the police. Said police came TODAY to get their footage. Hm.,0,KevDGrussing,ferguson,not_rumour,Welp... RT Attorney of Ferguson Market owners never called the police. Said police came TODAY to get their footage. Hm.,20
Supposedly there might be one or two witnesses who have the shooting or part of the shooting recorded on their phones. #Ferguson,1,MichaelSkolnik,ferguson,rumour,Supposedly there might be one or two witnesses who have the shooting or part of the shooting recorded on their phones. Ferguson,22
#Ferguson police chief says he released the robbery video because he was getting FOIA requests for it. How did anyone know to request it?,1,thleenzo,ferguson,rumour,Ferguson police chief says he released the robbery video because he was getting FOIA requests for it. How did anyone know to request it?,24
Why do whites run a mostly black town? See what's fueling long-simmering tension in #Ferguson http://t.co/sgMZFUhch8 http://t.co/K3s69KltKA,0,CNN,ferguson,not_rumour,Why do whites run a mostly black town? See what's fueling long-simmering tension in Ferguson,15
