text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
Gurlitt’s Museum Bequest Is Challenged http://t.co/I8chboixpD,0,nytimesarts,gurlitt,not_rumour,Gurlitts Museum Bequest Is Challenged,5
"On eve of Monday's announcement, Gurlitt relatives formally challenge the will that named Kunstmuseum Bern as heir http://t.co/5JqcjTXYB4",0,NicholasMOD,gurlitt,not_rumour,"On eve of Monday's announcement, Gurlitt relatives formally challenge the will that named Kunstmuseum Bern as heir",17
Swiss museum [@KunstmuseumBern] accepts Gurlitt's problematic bequest http://t.co/hQ0gKpdXVs via @TheArtNewspaper,1,HenriNiotou,gurlitt,rumour,Swiss museum accepts Gurlitt's problematic bequest via,7
[NYTimes:  Judaism] Swiss Museum Accepts Bequest of Nazi-Era Art http://t.co/bxli70bsrj,1,TheWonderngJew,gurlitt,rumour,NYTimes Judaism Swiss Museum Accepts Bequest of Nazi-Era Art,9
Swiss museum decides to accept Gurlitt Nazi-era art trove http://t.co/QMgo0O7Ive,1,dw_english,gurlitt,rumour,Swiss museum decides to accept Gurlitt Nazi-era art trove,9
The Gurlitt art collection no one - and everyone - wants - SWI swissinfo.ch http://t.co/7j0ZLfv7d1 @swissinfo_en,0,sibradley1,gurlitt,not_rumour,The Gurlitt art collection no one - and everyone - wants - SWI swissinfo.ch,14
"@KunstmuseumBern declares that it will accept the inheritance—Berlin, Munich, and Bern sign an agreement on how to manage #Gurlitt’s legacy",1,KunstmuseumBern,gurlitt,rumour,"declares that it will accept the inheritanceBerlin, Munich, and Bern sign an agreement on how to manage Gurlitts legacy",19
Cousin of Cornelius Gurlitt Challenges Will That Leaves Collection to Swiss Museum http://t.co/L1KH8oFGog,0,nytimesarts,gurlitt,not_rumour,Cousin of Cornelius Gurlitt Challenges Will That Leaves Collection to Swiss Museum,12
Swiss Museum Will Accept Gurlitt Art Trove - ABC News http://t.co/tJm9ldHr95 #Entertainment,1,greensboro_nc,gurlitt,rumour,Swiss Museum Will Accept Gurlitt Art Trove - ABC News Entertainment,11
"German, Swiss handling of Gurlitt hoard and bequest is all wrong, says senior Austrian curator http://t.co/4Ioh8t2GfS http://t.co/diZjKe0gN6",0,TheArtNewspaper,gurlitt,not_rumour,"German, Swiss handling of Gurlitt hoard and bequest is all wrong, says senior Austrian curator",15
#Gurlitt's art collection is going to a Bern museum. Here's a look back at how it came to that http://t.co/7qoJQRTZlF http://t.co/t37tgc2pP0,1,dw_culture,gurlitt,rumour,Gurlitt's art collection is going to a Bern museum. Here's a look back at how it came to that,19
