text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
WATCH: Sounds of apparent gunfire inside halls of Canada's Parliament Hill: http://t.co/KzOOm96NEL http://t.co/WOzpsb6dXi,1,ABC,ottawashooting,rumour,WATCH Sounds of apparent gunfire inside halls of Canada's Parliament Hill,11
"IN PICTURES: Shots fired on Parliament Hill, soldier shot at National War Memorial   http://t.co/wdKEiy9P8e http://t.co/uQ4yY2Nw9c",1,ctvottawa,ottawashooting,rumour,"IN PICTURES Shots fired on Parliament Hill, soldier shot at National War Memorial",13
"Canadians: in sadness &amp; outrage at today's #OttawaShooting tragedy, let us be united—resolved to stand strong, together. #cdnpoli",0,Raffi_RC,ottawashooting,not_rumour,"Canadians in sadness amp outrage at today's OttawaShooting tragedy, let us be unitedresolved to stand strong, together. cdnpoli",18
Very sad that someone died in Ottawa. Who has to die in a country to mobilize it for war? Is this what it takes? Is that where we are going?,0,ImmortalTech,ottawashooting,not_rumour,Very sad that someone died in Ottawa. Who has to die in a country to mobilize it for war? Is this what it takes? Is that where we are going?,30
Be safe Ottawa! Praying for everyone involved today.,0,mikefisher1212,ottawashooting,not_rumour,Be safe Ottawa! Praying for everyone involved today.,8
Just in: Canadian soldier killed in #OttawaShooting today is Cpl. Nathan Cirillo Thoughts &amp; prayers to his family http://t.co/fu2eZssBTr,1,jimsciutto,ottawashooting,rumour,Just in Canadian soldier killed in OttawaShooting today is Cpl. Nathan Cirillo Thoughts amp prayers to his family,18
BREAKING: #Ottawa Civic Hosp official says TWO NEW PATIENTS are enroute to hospital. 1 w/gunshot wounds. Both stable. @ctvottawa #ottnews,1,CatherineCTV,ottawashooting,rumour,BREAKING Ottawa Civic Hosp official says TWO NEW PATIENTS are enroute to hospital. 1 w gunshot wounds. Both stable. ottnews,20
We are One. We are Strong. #ProudToBeACanadian #PrayForOttawa #OttawaShooting http://t.co/JPBtFgAFgV,0,KingDavidF,ottawashooting,not_rumour,We are One. We are Strong. ProudToBeACanadian PrayForOttawa OttawaShooting,9
"Ottawa hospital says it's treating three patients, two in stable condition, after shooting incident. http://t.co/1cKIHwuCzl",1,Reuters,ottawashooting,rumour,"Ottawa hospital says it's treating three patients, two in stable condition, after shooting incident.",14
"Confirmed reports that there were three shootings in Ottawa: at a War memorial, at the Parliament and at a shopping mall.",1,samueloakford,ottawashooting,rumour,"Confirmed reports that there were three shootings in Ottawa at a War memorial, at the Parliament and at a shopping mall.",21
Kevin Vickers hailed as hero who took down attacker at Parliament Hill: http://t.co/sG70iQtfSM #cbcOTT #OTTnews http://t.co/zuSOkiOzck,1,CBCOttawa,ottawashooting,rumour,Kevin Vickers hailed as hero who took down attacker at Parliament Hill cbcOTT OTTnews,14
"Anyone with tips regarding the shooting incidents, or those looking to report suspicious activity, can call 613-236-1222 x5493 or call 9-1-1",0,OttawaPolice,ottawashooting,not_rumour,"Anyone with tips regarding the shooting incidents, or those looking to report suspicious activity, can call 613-236-1222 x5493 or call 9-1-1",21
A Canadian soldier has been shot at the country's National War Memorial near Parliament. http://t.co/5UE8YlRluE http://t.co/wZRSqS5X26,1,CBSNews,ottawashooting,rumour,A Canadian soldier has been shot at the country's National War Memorial near Parliament.,14
"Watching Peter Mansbridge on CBC. Canadian journalism is calm, factual, not fear-mongering. The way it should be. #ottawashooting @cbc",0,ElisabethBucci,ottawashooting,not_rumour,"Watching Peter Mansbridge on CBC. Canadian journalism is calm, factual, not fear-mongering. The way it should be. ottawashooting",18
