text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
@CBCNews has independently confirmed gunman killed in Parliament attack is Canadian-born Michael Zehaf-Bibeau.#OttawaShooting,1,CBCAlerts,ottawashooting,rumour,has independently confirmed gunman killed in Parliament attack is Canadian-born Michael Zehaf-Bibeau.OttawaShooting,12
"CONFIRMED | 1 shooter shot dead at Parliament Hill, but there is more than 1 suspect. #cbcOTT #OTTnews",1,CBCOttawa,ottawashooting,rumour,"CONFIRMED 1 shooter shot dead at Parliament Hill, but there is more than 1 suspect. cbcOTT OTTnews",17
Credible sources tell @SunNewsNetwork there may be as many as five active shooters in #Ottawa http://t.co/riheafK9WV http://t.co/stc2O4WlcS,1,SunNewsNetwork,ottawashooting,rumour,Credible sources tell there may be as many as five active shooters in Ottawa,14
#Canada journalist captures outbreak of small-arms fire inside Parliament building in #Ottawa: http://t.co/oFsOV9xva2,1,Charles_Lister,ottawashooting,rumour,Canada journalist captures outbreak of small-arms fire inside Parliament building in Ottawa,12
"'Stand easy, brother': Soldier killed in Ottawa identified as Cpl. Nathan Frank Cirillo http://t.co/y43xMQlWMr http://t.co/dIdgjptqUb",1,CTVNews,ottawashooting,rumour,"'Stand easy, brother' Soldier killed in Ottawa identified as Cpl. Nathan Frank Cirillo",13
Parliament Hill attack: Ottawa residents captures images of chaos amidst lockdown http://t.co/zZqXiHYgFX http://t.co/y0hkxMLYDP,0,CBCNews,ottawashooting,not_rumour,Parliament Hill attack Ottawa residents captures images of chaos amidst lockdown,11
BREAKING NEWS: New York Times is reporting the Canadian soldier who was shot has died from their injuries. Heartbreaking. #cdnpoli #ableg,1,DaveBeninger,ottawashooting,rumour,BREAKING NEWS New York Times is reporting the Canadian soldier who was shot has died from their injuries. Heartbreaking. cdnpoli ableg,21
"We are here, we have people for you to talk to, if you are scared, anxious, stressed and need someone.  613-238-3311 #Ottawa",0,DistressCentreO,ottawashooting,not_rumour,"We are here, we have people for you to talk to, if you are scared, anxious, stressed and need someone. 613-238-3311 Ottawa",22
"You are not alone today #Ottawa - we are here if you need to talk, cry, whatever, we are here 613-238-3311",0,DistressCentreO,ottawashooting,not_rumour,"You are not alone today Ottawa - we are here if you need to talk, cry, whatever, we are here 613-238-3311",21
BREAKING NEWS: CANADIAN OFFICIALS NOW CALLING TODAY'S PARLIAMENT SHOOTING A TERRORIST ATTACK - http://t.co/lXFiYaVImZ,1,PzFeed,ottawashooting,rumour,BREAKING NEWS CANADIAN OFFICIALS NOW CALLING TODAY'S PARLIAMENT SHOOTING A TERRORIST ATTACK -,13
