text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
"France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58",1.0,euronews,unknown,rumour,"France 10 people dead after shooting at HQ of satirical weekly newspaper CharlieHebdo, according to witnesses",16
"@TIME   Tell it like it is... ""Muslim Terrorist Gunmen""  Quit downplaying facts.",1.0,SmittySmittyT,unknown,rumour,"Tell it like it is... ""Muslim Terrorist Gunmen"" Quit downplaying facts.",11
Thank God“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP http://t.co/SFWNuXJEF0”,1.0,blueandorange7,unknown,rumour,Thank God Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson AFP,14
"@themcmc87 RT @MotherJones: #Ferguson is 60% black, but virtually all its cops are white. http://t.co/85UNWcitUf http://t.co/FOyGOT2qbW",0.0,heatherswoods,ferguson,not_rumour,"RT Ferguson is 60 black, but virtually all its cops are white.",12
"@SiDonTrip @PogMoThoin13 @hookemJuve @ddizzle2771 exactly, there was absolutely wrong doing and we are all smart enough to see its NOT RIGHT",1.0,NR_Nevagives,ferguson,rumour,"exactly, there was absolutely wrong doing and we are all smart enough to see its NOT RIGHT",17
"@Emmm_Aye Pretty common in France, I think....",1.0,MoodySlayerUK,unknown,rumour,"Pretty common in France, I think....",6
@YourAnonNews @ShriteshLakhani @ksdknews But every anonymous IS a moms-basement-dwelling assclown.,1.0,dageneralissimo,ferguson,rumour,But every anonymous IS a moms-basement-dwelling assclown.,7
@JakeTaylor12 @pgoldman16 @sgeretz these people are evil and they want the world to play by their rules!,1.0,lufc_AML,unknown,rumour,these people are evil and they want the world to play by their rules!,14
Is this by any chance the media outlet that satirically depicted Prophet Mohammed?  @SkyNewsBreak,1.0,JonathanSkelley,unknown,rumour,Is this by any chance the media outlet that satirically depicted Prophet Mohammed?,13
@KoszikMeows @CNNVideo to make him he look like a thug ? 😴,1.0,BrwnSkinGirly,ferguson,rumour,to make him he look like a thug ?,9
@bbcbreaking I HATE TERRORIST ATTACK THEY KILL INOCENNT SOULS,1.0,yomi920,unknown,rumour,I HATE TERRORIST ATTACK THEY KILL INOCENNT SOULS,8
"@sequoia2001 I can't watch it or listen again. But, to me, it was very clear. @ZhidoBandera @sterion75 @Liveuamap",1.0,2111015,unknown,rumour,"I can't watch it or listen again. But, to me, it was very clear.",14
@Jamesdacc @SoulRevision I see. These guys are like the 3 Stooges,1.0,ronzell3284,ferguson,rumour,I see. These guys are like the 3 Stooges,9
@malcolmshabazz6 @TheRoot @thedailybeast Looks like he started the 2016 campaign early.,1.0,goprapebuster,ferguson,rumour,Looks like he started the 2016 campaign early.,8
@TIME the real face of islamists # murders,1.0,dino_yucel520,unknown,rumour,the real face of islamists murders,6
@ReQCartier lol. I seen your tweet rt on my timeline more than your actual tweets.,0.0,ArtistNamed_DS,ferguson,not_rumour,lol. I seen your tweet rt on my timeline more than your actual tweets.,14
#Ferguson police chief says officer Darren Wilson didn't know #MikeBrown was a robbery suspect http://t.co/SbpxzwwZWs,1.0,GlobalGrindNews,ferguson,rumour,Ferguson police chief says officer Darren Wilson didn't know MikeBrown was a robbery suspect,14
"Does Missouri, St. Louis County &amp; #Ferguson have rules &amp; laws about cops using deadly force? What are they?
@originalgriz @randyprine",1.0,CarlNyberg312,ferguson,rumour,"Does Missouri, St. Louis County amp Ferguson have rules amp laws about cops using deadly force? What are they?",19
@chahal_tony @PFencesMusic @LFBFireFairy someone own tweets proves they are not as they claim law abiding citizen.,1.0,vaughan_k,unknown,rumour,someone own tweets proves they are not as they claim law abiding citizen.,13
@roseneath_rd how about fighting a police officer and reaching for his gun,1.0,Thechamps76,ferguson,rumour,how about fighting a police officer and reaching for his gun,11
@Letha_Hughes @4010236 Who said they were Islamic? They haven't been identified yet.,0.0,ScotsFox71,charliehebdo,not_rumour,Who said they were Islamic? They haven't been identified yet.,10
"officer can stop him,if he runs,the officer can run him down, call for back up not shoot him dead. @ckolacia @JHW252 @ScottLofquist @NBCNews",1.0,stand4all,ferguson,rumour,"officer can stop him,if he runs,the officer can run him down, call for back up not shoot him dead.",19
#BREAKING - #FRANCE: Hostages taken at company North-East of #Paris https://t.co/4yt6nafpIg #CharlieHebdo http://t.co/DPPbKD3RUk,1.0,FRANCE24,unknown,rumour,BREAKING - FRANCE Hostages taken at company North-East of Paris CharlieHebdo,11
@donteshamir @ATD_6 or would've been quick to release details if it Was a black on black crime.,1.0,_jaeeWALKIN,ferguson,rumour,or would've been quick to release details if it Was a black on black crime.,15
.@ZerlinaMaxwell @GottaLaff How did you learn media didn't know of video?,1.0,NPSusa,ferguson,rumour,. How did you learn media didn't know of video?,10
@AntonioFrench I've said #Ferguson is almost like a motion picture adaptation of 10 yrs worth of http://t.co/hULtGChsA6 comments.,0.0,beetkid,ferguson,not_rumour,I've said Ferguson is almost like a motion picture adaptation of 10 yrs worth of comments.,16
@3ChicsPolitico @QuadCityPat @NBCNews @nbc  George Bush did it.  !!!!!! Of course!!   LORD THE IGNORANCE.,1.0,Conservativrulz,ferguson,rumour,George Bush did it. !!!!!! Of course!! LORD THE IGNORANCE.,10
@BBCBreaking Great. A pointless attack which will only inflame the passions of the anti-Islamists.,1.0,Greebobek,unknown,rumour,Great. A pointless attack which will only inflame the passions of the anti-Islamists.,13
RT @kimwillsher1: #Charlie Hebdo. It was press day at the magazine so all important staff were there. Now 10 dead along w/ 2 police officers,1.0,jamietarabay,unknown,rumour,Charlie Hebdo. It was press day at the magazine so all important staff were there. Now 10 dead along w 2 police officers,23
"@Aghanloo @BBCBreaking I was born and lived more than 25 years in Arabic Islamic hell, but fortunate now in Europe. Good night",1.0,worldcitizen_x,unknown,rumour,"I was born and lived more than 25 years in Arabic Islamic hell, but fortunate now in Europe. Good night",20
@BBCBreaking I strongly condemn this barbaric attack as a Turkish Muslim #NotInMyName http://t.co/qt8yGdrv8L,1.0,HizmetTurco,unknown,rumour,I strongly condemn this barbaric attack as a Turkish Muslim NotInMyName,11
@DaliaChai @cnnbrk u r better expert.  I doubt but I am not expert.If so than my question why western govts tolerate all those Muslim groups,1.0,zhuravkov67,unknown,rumour,u r better expert. I doubt but I am not expert.If so than my question why western govts tolerate all those Muslim groups,23
"*Adult language MT @AntonioFrench info given today seems to line up w/ this witness account, even alleged theft: http://t.co/zxXVsbTBS2 …",1.0,MandaGator,ferguson,rumour,"Adult language MT info given today seems to line up w this witness account, even alleged theft",17
"... “@mathieuvonrohr: Video showing #CharlieHebdo attack. ""Allahu akbar"" shouts http://t.co/h2b4Xl9kkJ”",1.0,Selim_,unknown,rumour,"... Video showing CharlieHebdo attack. ""Allahu akbar"" shouts",8
@FoxNews @BanIslamists now which religious nutjobs do people think it is? Time to crack down Europe has problems,1.0,gme7,unknown,rumour,now which religious nutjobs do people think it is? Time to crack down Europe has problems,16
“@zellieimani: How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson” even OJ lol.,1.0,ilooklikeamodel,ferguson,rumour,How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. Ferguson even OJ lol.,20
@EricsSauces @TheAnonMessage2 it's not him lmao the store owners already said so,1.0,RemarkablyDope,ferguson,rumour,it's not him lmao the store owners already said so,10
@nytimes He did NOT killed 2 people. Please stop spreading wrong informations.,1.0,AimeeLoved_B,unknown,rumour,He did NOT killed 2 people. Please stop spreading wrong informations.,11
@Bidenshairplugs @classicNavalAir I know... What a nice guy he seems like. #sarcasm,1.0,kenecaz,ferguson,rumour,I know... What a nice guy he seems like. sarcasm,10
"@tonyjdell @Mama4Obama1 @JeffersonObama I'm not a religious person either, but u slammed 1 billion ppl. All fanaticism is evil.",1.0,No_Idteaots,unknown,rumour,"I'm not a religious person either, but u slammed 1 billion ppl. All fanaticism is evil.",16
"@rolandsmartin I'm not sure there was a ""robbery"". Convenience stores keep tobacco behind a counter where you PAY first! IJS #MikeBrown",1.0,Jurutha,ferguson,rumour,"I'm not sure there was a ""robbery"". Convenience stores keep tobacco behind a counter where you PAY first! IJS MikeBrown",20
@KyleStrunk @GrooveSDC hide then they wouldn't have waited 6 days to release any info at all. And they do this after last night??,1.0,MizzzLizzy,ferguson,rumour,hide then they wouldn't have waited 6 days to release any info at all. And they do this after last night??,21
@PogMoThoin13 @ddizzle2771 @SiDonTrip @CheathamKMOV This is the real issue Irish. Thank you.,1.0,hookemJuve,ferguson,rumour,This is the real issue Irish. Thank you.,8
@Rexgrrr8 @MrHarryCole @Holbornlolz None that I know of. That would be nonsense.,0.0,rc_848,charliehebdo,not_rumour,None that I know of. That would be nonsense.,9
.@stormnnorm @Intellectsread @DERRYCKGRIFFITH @lj_kulwicki @BBCBreaking That does not make it true.,1.0,LaDonnaRae1961,unknown,rumour,. That does not make it true.,7
Big government at its best “@msnbc: How did suburban cops in #Ferguson get weapons of war?: http://t.co/Brv9tG9sqe http://t.co/IJ2av0x6JT”,0.0,SundevilSal,ferguson,not_rumour,Big government at its best How did suburban cops in Ferguson get weapons of war?,15
"@peoplemag i'm from france , there are 4 terrorists in paris. We are praying for victims and hostage .thks for your support !",1.0,Lexiekhalidi,unknown,rumour,"i'm from france , there are 4 terrorists in paris. We are praying for victims and hostage .thks for your support !",22
"@clydepmusic @Philt522 Yeah, and HIV can't be a disease at the same time either.",0.0,Scgator1414,unknown,not_rumour,"Yeah, and HIV can't be a disease at the same time either.",12
