text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
Security at Massey Hall say there will be no Prince concert tonight #cbcto,1,trevorjdunn,prince-toronto,rumour,Security at Massey Hall say there will be no Prince concert tonight cbcto,13
"No Purple Rain #Toronto, just rain MT @LiveNationON In response to inquiries, can confirm Prince won't be performing at @masseyhall tonight",1,SimonOstler,prince-toronto,rumour,"No Purple Rain Toronto, just rain MT In response to inquiries, can confirm Prince won't be performing at tonight",19
So @prince Concert @masseyhall  4 tickets/person &amp; max seating is 3300 Still a chance if you want to brave it! #Prince#Toronto,1,EventsMode,prince-toronto,rumour,So Concert 4 tickets person amp max seating is 3300 Still a chance if you want to brave it! PrinceToronto,20
"WHAT?  RT @CityNews #BREAKING: Prince reportedly to perform surprise show at Massey Hall tonight
http://t.co/jT8Tx5P1Kw #Toronto",1,JEB1SE,prince-toronto,rumour,WHAT? RT BREAKING Prince reportedly to perform surprise show at Massey Hall tonight Toronto,14
Toronto is hoping for a surprise show by Prince and @3RDEYEGIRL tonight. http://t.co/8Nwq3UgIzt,1,LocalCurrent,prince-toronto,rumour,Toronto is hoping for a surprise show by Prince and tonight.,11
"Maaaaaaan… ""@Shakes1: Security at Massey Hall has told crowds to go home. Prince will not be performing tonight""",1,PrinceTaughtMe,prince-toronto,rumour,"Maaaaaaan "" Security at Massey Hall has told crowds to go home. Prince will not be performing tonight""",18
Star photographer Steve Russell shows how long the Prince lineup at Massey Hall is right now. http://t.co/tnpmrN08fp,1,karonliu,prince-toronto,rumour,Star photographer Steve Russell shows how long the Prince lineup at Massey Hall is right now.,16
.@3RDEYEGIRL just left #Toronto fans out in the cold. Reaction: http://t.co/qB1TPDPtho #Prince http://t.co/aUxq4wNPKe,1,JamShowbiz,prince-toronto,rumour,. just left Toronto fans out in the cold. Reaction Prince,11
Toronto riots tonight RT @CP24: LiveNation confirms that Prince will not be performing at Massey Hall tonight.,1,itsdgc,prince-toronto,rumour,Toronto riots tonight RT LiveNation confirms that Prince will not be performing at Massey Hall tonight.,16
...and LiveNation confirms Prince will not be playing Massey Hall tonight.,1,Toronto,prince-toronto,rumour,...and LiveNation confirms Prince will not be playing Massey Hall tonight.,11
In a tweet concert promoter Live Nation says there is NO Prince show at Massey Hall tonight #Toronto,1,siomo,prince-toronto,rumour,In a tweet concert promoter Live Nation says there is NO Prince show at Massey Hall tonight Toronto,18
"Prince fans already lining up @ Massey Hall. Wristbands reportedly on sale at 6pm
http://t.co/WpiPU0aYwK #Toronto http://t.co/G9IEqv1GLe",1,680News,prince-toronto,rumour,Prince fans already lining up Massey Hall. Wristbands reportedly on sale at 6pm Toronto,14
Inside Massey Hall in Toronto. Pretty legit. Wish I were there! @3RDEYEGIRL #Prince http://t.co/Z8vRZTSx5W,1,SaraSavoy,prince-toronto,rumour,Inside Massey Hall in Toronto. Pretty legit. Wish I were there! Prince,12
PICTURES OF THE #PRINCEAMY QUEUING IN #TORONTO https://t.co/RkYChFJ2y4 SEND US YOUR PICS TO ADD TO OUR GALLERY! #PRINCE @3RDEYEGIRL,1,PrincePartyUK,prince-toronto,rumour,PICTURES OF THE PRINCEAMY QUEUING IN TORONTO SEND US YOUR PICS TO ADD TO OUR GALLERY! PRINCE,17
"Prince pulled this tweet, but I caught it. A Toronto surprise is coming. Let's go crazy. http://t.co/uu3vOm0FbK",1,JillKrajewski,prince-toronto,rumour,"Prince pulled this tweet, but I caught it. A Toronto surprise is coming. Let's go crazy.",16
Good old Massey Hall for Prince tonight in #Toronto. http://t.co/4DMcW35Iqq,1,SeanChin,prince-toronto,rumour,Good old Massey Hall for Prince tonight in Toronto.,9
"STORY: Prince to reportedly play a pop up show in Toronto TONIGHT
http://t.co/eMaXT97Deq http://t.co/vj6d8iek5z",1,newstalk1010,prince-toronto,rumour,STORY Prince to reportedly play a pop up show in Toronto TONIGHT,12
Surprise Prince show hitting Toronto tonight? My brain just melted.,1,the2scoops,prince-toronto,rumour,Surprise Prince show hitting Toronto tonight? My brain just melted.,10
"#BREAKING: Prince reportedly to perform surprise show at Massey Hall tonight
http://t.co/G003mTSk9S #Toronto",1,CityNews,prince-toronto,rumour,BREAKING Prince reportedly to perform surprise show at Massey Hall tonight Toronto,12
"Hey #Toronto, I know that Prince concert at Massey Hall didn't happen but now he's here playing in my living room and what does he eat?",1,MrIanMacIntyre,prince-toronto,rumour,"Hey Toronto, I know that Prince concert at Massey Hall didn't happen but now he's here playing in my living room and what does he eat?",26
OMG. #Prince rumoured to be performing in Toronto today. Exciting!,1,TheSocialCTV,prince-toronto,rumour,OMG. Prince rumoured to be performing in Toronto today. Exciting!,10
"***Not confirmed yet***
Prince to perform surprise show in Toronto

Prince is rumoured to be performing a... http://t.co/4KrJbn5W1K",1,housequakecom,prince-toronto,rumour,Not confirmed yet Prince to perform surprise show in Toronto Prince is rumoured to be performing a...,17
No plans now that #Prince isn't performing in #Toronto? Come here for our surprise show w/ @MagnusBetner instead http://t.co/6QKYNrEBLt,1,comedybar,prince-toronto,rumour,No plans now that Prince isn't performing in Toronto? Come here for our surprise show w instead,17
Prince loves this city. He fell for the Toronto woman trap. Happens to the best of them.,0,ellhah,prince-toronto,not_rumour,Prince loves this city. He fell for the Toronto woman trap. Happens to the best of them.,17
"Prince fans lining up at Massey Hall. Wristbands for surprise show reportedly on sale at 6pm.
http://t.co/XDIEmme4QD http://t.co/O0JFvNV6uR",1,CityNews,prince-toronto,rumour,Prince fans lining up at Massey Hall. Wristbands for surprise show reportedly on sale at 6pm.,16
Rumour of Prince surprise show at Toronto's Massey Hall quashed by Live Nation http://t.co/kvopjL8bGH,1,CdnPress,prince-toronto,rumour,Rumour of Prince surprise show at Toronto's Massey Hall quashed by Live Nation,13
"Lineup forms outside Massey Hall amid rumours of surprise Prince show
http://t.co/J3f8kJpnqF http://t.co/LDAp5zTixz",1,CP24,prince-toronto,rumour,Lineup forms outside Massey Hall amid rumours of surprise Prince show,11
"Prince probably arrived in Toronto, saw that it was raining and cancelled because the rain wasn't purple. #prince",1,bullseyecanada,prince-toronto,rumour,"Prince probably arrived in Toronto, saw that it was raining and cancelled because the rain wasn't purple. prince",18
Prince fans lining up at Massey Hall. Wristbands for surprise show reportedly on sale at 6pm. #Toronto http://t.co/uZBPGlfyce,1,EntCity,prince-toronto,rumour,Prince fans lining up at Massey Hall. Wristbands for surprise show reportedly on sale at 6pm. Toronto,17
"A Prince rep, accompanied by a Massey Hall staffer, just told us all in line that there is indeed no show. What a bust! #Prince #Toronto",1,DaleGago,prince-toronto,rumour,"A Prince rep, accompanied by a Massey Hall staffer, just told us all in line that there is indeed no show. What a bust! Prince Toronto",26
.@3RDEYEGIRL you see what you've done to #Toronto? #Prince http://t.co/82eXnU49OY,1,GordMacey,prince-toronto,rumour,. you see what you've done to Toronto? Prince,9
Imagine if the people lining up at Massey Hall for Prince found out that some lines got crossed &amp; it's actually a secret Nickleback show?,1,dustincohen,prince-toronto,rumour,Imagine if the people lining up at Massey Hall for Prince found out that some lines got crossed amp it's actually a secret Nickleback show?,25
Are you in line at Massey Hall? Send us a photo! Prince rumoured to be playing surprise show http://t.co/tZZuoauuwN http://t.co/KmROAvXLc5,1,CBCToronto,prince-toronto,rumour,Are you in line at Massey Hall? Send us a photo! Prince rumoured to be playing surprise show,18
Chock-a-block w Prince fans at surprise Massey Hall concert in T.O. #cbcarts He so hearts Cdns http://t.co/HRQWag5OOv http://t.co/mSdWnitQUI,1,jelenaadzic,prince-toronto,rumour,Chock-a-block w Prince fans at surprise Massey Hall concert in T.O. cbcarts He so hearts Cdns,16
Clearly prince is having a show in #toronto @TorontoComms #tdot #gta #prince #concert http://t.co/e7oktlGd1v,1,Stazie_15,prince-toronto,rumour,Clearly prince is having a show in toronto tdot gta prince concert,12
Uh-oh. Live Nation is saying that there's no Prince show at Massey Hall tonight. http://t.co/IbovDWvjHK,1,blogTO,prince-toronto,rumour,Uh-oh. Live Nation is saying that there's no Prince show at Massey Hall tonight.,14
Is Prince playing a surprise Massey Hall show tonight? http://t.co/w5ymCHylg8 http://t.co/DYQ0jwnnmU,1,nowtoronto,prince-toronto,rumour,Is Prince playing a surprise Massey Hall show tonight?,9
BREAKING: Tonight in Toronto nobody is gonna party like it's 1999. #Prince  #PRINCEWATCH #mylittleredcorvettestalled,1,Mr_Grumpypantz,prince-toronto,rumour,BREAKING Tonight in Toronto nobody is gonna party like it's 1999. Prince PRINCEWATCH mylittleredcorvettestalled,14
It looks like a secret Prince show is happening at Massey Hall tonight. http://t.co/IbovDWvjHK http://t.co/1ObuNIhRdC,1,blogTO,prince-toronto,rumour,It looks like a secret Prince show is happening at Massey Hall tonight.,13
