text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
Australia is home to some of the greatest people I know. My heart goes out to everyone affected by today’s crisis in Sydney.,0,burnie,sydneysiege,not_rumour,Australia is home to some of the greatest people I know. My heart goes out to everyone affected by todays crisis in Sydney.,23
#illridewithyou Compassion of a nation will trump an individual's attempt at terror. #Australia #sydneysiege,0,natebuzz,sydneysiege,not_rumour,illridewithyou Compassion of a nation will trump an individual's attempt at terror. Australia sydneysiege,14
"to all of those who aren't Australian, please be thinking of the hostages in Sydney tonight, just to spare a simple thought, it's terrifying",0,thetommopics,sydneysiege,not_rumour,"to all of those who aren't Australian, please be thinking of the hostages in Sydney tonight, just to spare a simple thought, it's terrifying",24
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,1,AusNewsNetwork,sydneysiege,rumour,BREAKING At least two people have died following the SydneySiege. 5 people are being treated by paramedics.,17
#IllRideWithYou: Sydney Stands Up To Racism And Bigotry With One Beautiful Hashtag http://t.co/oDMu7NcKIG http://t.co/Exn8kz7Sml,0,astroehlein,sydneysiege,not_rumour,IllRideWithYou Sydney Stands Up To Racism And Bigotry With One Beautiful Hashtag,12
Sydney Opera House has been completely evacuated and Sydney airspace closed. #siege,1,Sandra_Sully,sydneysiege,rumour,Sydney Opera House has been completely evacuated and Sydney airspace closed. siege,12
A gunman holding hostages in a Sydney cafe is said to be demanding an #ISIS flag http://t.co/39zCkBTOvF #sydneysiege http://t.co/Z8QH4xssOc,1,CNN,sydneysiege,rumour,A gunman holding hostages in a Sydney cafe is said to be demanding an ISIS flag sydneysiege,17
"#SYDNEYSIEGE: Police storming #Lindt Cafe, paramedics on scene http://t.co/kJdiVv0nB9 http://t.co/Ny7rYKuH2g",0,RT_com,sydneysiege,not_rumour,"SYDNEYSIEGE Police storming Lindt Cafe, paramedics on scene",8
"Media Release:

Mosques, synagogues and churches open tonight to pray for Sydney hostages and national unity.

http://t.co/zBKO5k2uEA",0,MariamVeiszadeh,sydneysiege,not_rumour,"Media Release Mosques, synagogues and churches open tonight to pray for Sydney hostages and national unity.",16
"Instead of calling the Sydney cafe terrorist 'the terrorist',BBC is calling him 'the gunman'. Even after he showed his black terrorist flag.",0,taslimanasreen,sydneysiege,not_rumour,"Instead of calling the Sydney cafe terrorist 'the terrorist',BBC is calling him 'the gunman'. Even after he showed his black terrorist flag.",22
"Please, please, please read these tips for major news stories, especially when lives are at stake. #sydneysiege http://t.co/QgToJNV2b1",0,cmclymer,sydneysiege,not_rumour,"Please, please, please read these tips for major news stories, especially when lives are at stake. sydneysiege",17
Reports on @channeltennews #sydneysiege gunman wants #ISIL flag delivered to cafe and he also wants to speak to PM or people will be killed.,1,TroyBramston,sydneysiege,rumour,Reports on sydneysiege gunman wants ISIL flag delivered to cafe and he also wants to speak to PM or people will be killed.,23
"The #illridewithyou movement has helped restore my faith in humanity. 

#sydneysiege",0,MariamVeiszadeh,sydneysiege,not_rumour,The illridewithyou movement has helped restore my faith in humanity. sydneysiege,11
faith in humanity restored. #sydneysiege http://t.co/9x9M66JfSt,0,AryYuanto,sydneysiege,not_rumour,faith in humanity restored. sydneysiege,5
BREAKING: 2 people killed and 3 in serious condition as hostage siege at Sydney café ends -- Australian broadcaster. http://t.co/Cbx2v3sNMa,1,cnni,sydneysiege,rumour,BREAKING 2 people killed and 3 in serious condition as hostage siege at Sydney caf ends -- Australian broadcaster.,19
Only the soldiers of Islam have the guts to bravely face women armed with coffee mugs.  #sydneysiege  #SydneyHostageCrisis,0,GodlessUtopia,sydneysiege,not_rumour,Only the soldiers of Islam have the guts to bravely face women armed with coffee mugs. sydneysiege SydneyHostageCrisis,18
You gotta admire the ability of Daily Tele editors to resist fads like fact-checking #sydneysiege,0,jessradio,sydneysiege,not_rumour,You gotta admire the ability of Daily Tele editors to resist fads like fact-checking sydneysiege,15
"After criticism, Uber now picking riders in downtown Sydney for free during hostage crisis. https://t.co/BrmZCdZpxj http://t.co/9OUdn7HZBd",1,nycjim,sydneysiege,rumour,"After criticism, Uber now picking riders in downtown Sydney for free during hostage crisis.",14
Join us in Prayer #sydneysiege #PrayForSydney http://t.co/Or5uclGJpt,0,GODTV,sydneysiege,not_rumour,Join us in Prayer sydneysiege PrayForSydney,6
Grand Mufti of Australia statement condemning #SydneySiege http://t.co/8juQ032EdP,1,_AdamTodd,sydneysiege,rumour,Grand Mufti of Australia statement condemning SydneySiege,7
Americans saying this would have never happened if citizens had guns: you morons. Guess how many school shootings we have? #SYDNEYSIEGE,0,MattSainsb,sydneysiege,not_rumour,Americans saying this would have never happened if citizens had guns you morons. Guess how many school shootings we have? SYDNEYSIEGE,21
